Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
Wii,2008,Sports,Electronic Arts,0.18,0.22,0.0,0.05,0.45,50.0,4.6,E
X360,2011,Shooter,Warner Bros. Interactive Entertainment,0.3,0.11,0.01,0.04,0.45,75.0,7.0,M
Wii,2010,Misc,Disney Interactive Studios,0.42,0.0,0.0,0.03,0.45,78.0,8.0,E
PS2,2004,Misc,Konami Digital Entertainment,0.22,0.17,0.0,0.06,0.44,71.0,7.5,
PS3,2011,Shooter,THQ,0.13,0.23,0.0,0.08,0.44,70.0,7.4,M
DS,2009,Simulation,505 Games,0.42,0.0,0.0,0.03,0.44,71.0,7.5,E
Wii,2009,Misc,MTV Games,0.41,0.0,0.0,0.03,0.44,71.0,7.5,E10+
PS2,2006,Sports,Spike,0.37,0.01,0.0,0.06,0.44,70.0,5.2,E
X360,2010,Sports,505 Games,0.38,0.04,0.0,0.03,0.44,44.0,7.5,E
PS2,2005,Misc,Sony Computer Entertainment,0.37,0.01,0.0,0.06,0.44,71.0,7.5,
XB,2005,Sports,Konami Digital Entertainment,0.06,0.33,0.02,0.03,0.44,89.0,7.9,E
N64,1999,Sports,Electronic Arts,0.42,0.02,0.0,0.0,0.44,71.0,7.5,
PS2,2004,Action,Konami Digital Entertainment,0.22,0.17,0.0,0.06,0.44,47.0,7.8,T
PS2,2005,Misc,THQ,0.37,0.01,0.0,0.06,0.44,71.0,7.5,
PS2,2002,Adventure,Vivendi Games,0.22,0.17,0.0,0.06,0.44,78.0,7.4,M
PS2,2004,Action,Activision,0.22,0.17,0.0,0.06,0.44,64.0,8.5,T
WiiU,2015,Sports,Nintendo,0.13,0.15,0.14,0.02,0.44,58.0,5.3,E
PS3,2011,Sports,Sega,0.09,0.24,0.03,0.08,0.44,69.0,6.6,E
XB,2005,Role-Playing,Activision,0.3,0.12,0.0,0.02,0.44,84.0,8.7,T
X360,2012,Fighting,Namco Bandai Games,0.26,0.14,0.01,0.04,0.44,74.0,7.2,T
PS3,2014,Shooter,Bethesda Softworks,0.14,0.21,0.02,0.07,0.44,71.0,7.1,M
PS4,2014,Action,Activision,0.19,0.18,0.0,0.07,0.44,78.0,5.6,E10+
PSP,2007,Strategy,THQ,0.04,0.26,0.0,0.14,0.44,80.0,8.1,E10+
DS,2009,Action,Activision,0.26,0.14,0.0,0.04,0.44,71.0,7.5,
PS2,2003,Action,Electronic Arts,0.22,0.17,0.0,0.06,0.44,56.0,7.4,M
XB,2006,Action,Electronic Arts,0.33,0.1,0.0,0.02,0.44,71.0,7.5,
DS,2008,Strategy,Take-Two Interactive,0.37,0.03,0.02,0.03,0.44,80.0,7.7,E10+
PS,1996,Sports,Namco Bandai Games,0.0,0.0,0.41,0.03,0.44,71.0,7.5,
XB,2002,Sports,Electronic Arts,0.35,0.08,0.0,0.01,0.44,88.0,8.5,E
PS2,2005,Shooter,Electronic Arts,0.37,0.01,0.0,0.06,0.44,80.0,8.5,T
XB,2005,Action,Vivendi Games,0.33,0.1,0.0,0.02,0.44,50.0,5.9,M
GBA,2003,Platform,Nintendo,0.0,0.0,0.43,0.01,0.44,71.0,7.5,
PS,1997,Shooter,Fox Interactive,0.25,0.17,0.0,0.03,0.44,71.0,7.5,
PS3,2007,Sports,Activision,0.36,0.04,0.0,0.04,0.44,73.0,6.6,T
PS,1999,Racing,SquareSoft,0.07,0.05,0.3,0.03,0.44,71.0,7.5,
XOne,2014,Action,Disney Interactive Studios,0.25,0.15,0.0,0.04,0.44,71.0,7.5,
XB,2006,Action,LucasArts,0.33,0.1,0.0,0.02,0.44,85.0,8.6,E10+
X360,2008,Action,Sega,0.16,0.23,0.0,0.05,0.44,68.0,8.0,M
Wii,2007,Simulation,Ubisoft,0.4,0.01,0.0,0.03,0.44,71.0,5.8,E
DS,2005,Action,Square Enix,0.13,0.0,0.31,0.01,0.44,83.0,7.6,E
PS2,2005,Shooter,Namco Bandai Games,0.0,0.0,0.44,0.0,0.44,71.0,7.5,
PS,2000,Puzzle,Namco Bandai Games,0.25,0.17,0.0,0.03,0.44,71.0,7.5,
PS,1996,Role-Playing,Crystal Dynamics,0.25,0.17,0.0,0.03,0.44,71.0,7.5,
SNES,1996,Puzzle,Hudson Soft,0.0,0.0,0.44,0.0,0.44,71.0,7.5,
X360,2014,Role-Playing,Microsoft Game Studios,0.25,0.15,0.01,0.04,0.44,71.0,7.5,
Wii,2008,Misc,Ubisoft,0.1,0.29,0.0,0.05,0.44,71.0,7.5,E
Wii,2009,Simulation,Konami Digital Entertainment,0.26,0.14,0.0,0.04,0.44,66.0,8.2,E10+
NES,1991,Puzzle,Hudson Soft,0.16,0.03,0.15,0.1,0.44,71.0,7.5,
N64,1997,Shooter,GT Interactive,0.35,0.08,0.0,0.01,0.44,71.0,7.5,
DS,2011,Action,Activision,0.32,0.08,0.0,0.03,0.44,71.0,7.5,
DS,2004,Simulation,Electronic Arts,0.4,0.01,0.02,0.0,0.44,71.0,7.5,
GC,2005,Misc,THQ,0.34,0.09,0.0,0.01,0.44,71.0,7.5,
PS2,2007,Strategy,Banpresto,0.0,0.0,0.44,0.0,0.44,71.0,7.5,
Wii,2009,Action,Disney Interactive Studios,0.19,0.2,0.0,0.05,0.44,69.0,8.0,E10+
PS,2001,Action,3DO,0.24,0.17,0.0,0.03,0.44,71.0,7.5,
X360,2012,Action,Activision,0.28,0.12,0.0,0.04,0.44,79.0,8.3,T
PSP,2010,Shooter,Sony Computer Entertainment,0.17,0.13,0.06,0.08,0.44,74.0,8.0,T
XB,2004,Racing,THQ,0.34,0.08,0.0,0.02,0.44,81.0,9.3,E
DS,2007,Simulation,Activision,0.4,0.0,0.0,0.03,0.44,71.0,7.5,E
PS2,2002,Sports,Konami Digital Entertainment,0.0,0.0,0.44,0.0,0.44,71.0,7.5,
PS,2000,Sports,Sony Computer Entertainment,0.24,0.17,0.0,0.03,0.44,71.0,7.5,
GC,2004,Fighting,Tomy Corporation,0.0,0.0,0.43,0.01,0.44,71.0,7.5,
Wii,2011,Sports,Electronic Arts,0.41,0.0,0.0,0.03,0.44,71.0,6.2,E
GC,2003,Platform,Nintendo,0.34,0.09,0.0,0.01,0.44,71.0,7.2,E
X360,2013,Action,Capcom,0.26,0.12,0.01,0.04,0.44,86.0,5.1,M
GBA,2003,Action,THQ,0.31,0.12,0.0,0.01,0.44,53.0,7.5,E
PSV,2012,Action,Electronic Arts,0.0,0.28,0.05,0.11,0.44,57.0,4.1,E
PS3,2008,Platform,Vivendi Games,0.19,0.18,0.0,0.07,0.44,59.0,6.6,E10+
PS2,2003,Misc,Namco Bandai Games,0.0,0.0,0.44,0.0,0.44,71.0,7.5,
Wii,2009,Action,Nintendo,0.09,0.02,0.32,0.01,0.44,55.0,7.2,T
Wii,2009,Action,D3Publisher,0.25,0.14,0.0,0.04,0.44,65.0,4.0,E10+
GC,2002,Shooter,Eidos Interactive,0.34,0.09,0.0,0.01,0.44,88.0,9.0,T
GBA,2003,Action,Majesco Entertainment,0.31,0.12,0.0,0.01,0.44,71.0,7.5,
GC,2002,Adventure,Nintendo,0.34,0.09,0.0,0.01,0.44,92.0,8.7,M
Wii,2009,Misc,Namco Bandai Games,0.41,0.0,0.0,0.03,0.44,53.0,6.8,E
GBA,2004,Action,THQ,0.31,0.12,0.0,0.01,0.44,71.0,7.5,E10+
PS2,2005,Fighting,Atari,0.36,0.01,0.0,0.06,0.44,75.0,8.7,T
X360,2007,Shooter,Take-Two Interactive,0.36,0.04,0.01,0.03,0.44,82.0,8.1,M
Wii,2007,Strategy,LucasArts,0.38,0.02,0.0,0.03,0.44,70.0,2.8,E10+
Wii,2009,Misc,Knowledge Adventure,0.41,0.0,0.0,0.03,0.44,71.0,7.5,
PS2,2009,Misc,Sony Computer Entertainment,0.0,0.06,0.0,0.38,0.44,71.0,7.5,
X360,2011,Shooter,Ubisoft,0.28,0.12,0.0,0.04,0.44,84.0,7.7,E10+
SAT,1996,Adventure,Sega,0.0,0.0,0.44,0.0,0.44,71.0,7.5,
PS2,2005,Action,Namco Bandai Games,0.0,0.0,0.44,0.0,0.44,71.0,7.5,
PS3,2010,Action,Activision,0.26,0.12,0.0,0.05,0.44,74.0,7.5,T
DS,2010,Simulation,Konami Digital Entertainment,0.0,0.0,0.44,0.0,0.44,71.0,7.5,
PS2,2002,Sports,Midway Games,0.21,0.17,0.0,0.06,0.44,73.0,8.6,E
PS2,2007,Action,THQ,0.36,0.01,0.0,0.06,0.44,71.0,7.5,E
PS3,2008,Role-Playing,Atari,0.19,0.12,0.07,0.05,0.44,80.0,7.8,T
PS3,2009,Misc,Sony Computer Entertainment,0.11,0.25,0.0,0.07,0.44,71.0,7.5,
Wii,2009,Misc,Konami Digital Entertainment,0.24,0.15,0.0,0.04,0.44,63.0,7.5,T
XB,2002,Simulation,Activision,0.35,0.07,0.0,0.02,0.44,78.0,5.2,T
Wii,2010,Sports,Konami Digital Entertainment,0.35,0.05,0.0,0.03,0.44,71.0,7.5,
GBA,2004,Adventure,Nintendo,0.26,0.1,0.07,0.01,0.43,58.0,8.6,E
Wii,2007,Platform,THQ,0.4,0.0,0.0,0.03,0.43,60.0,6.0,E
PS2,2003,Action,Sony Computer Entertainment,0.21,0.17,0.0,0.06,0.43,73.0,8.6,M
X360,2011,Racing,Electronic Arts,0.18,0.21,0.0,0.04,0.43,71.0,7.5,
PSP,2009,Strategy,Konami Digital Entertainment,0.19,0.07,0.12,0.05,0.43,71.0,7.5,
PS3,2012,Action,Tecmo Koei,0.19,0.09,0.11,0.05,0.43,58.0,5.0,M
DS,2009,Misc,Activision,0.2,0.19,0.0,0.04,0.43,65.0,7.0,E10+
GBA,2004,Racing,Electronic Arts,0.31,0.12,0.0,0.01,0.43,72.0,8.2,E
N64,2001,Sports,Electronic Arts,0.41,0.02,0.0,0.0,0.43,71.0,7.5,
PS2,2008,Action,Activision,0.17,0.0,0.0,0.26,0.43,71.0,7.5,
DS,2006,Puzzle,Nintendo,0.16,0.0,0.26,0.01,0.43,69.0,7.5,E
PS,2001,Shooter,Take-Two Interactive,0.24,0.16,0.0,0.03,0.43,71.0,7.5,T
XB,2001,Sports,Electronic Arts,0.32,0.09,0.0,0.02,0.43,88.0,8.5,E
GBA,2005,Simulation,THQ,0.31,0.12,0.0,0.01,0.43,71.0,7.5,
3DS,2011,Puzzle,Tetris Online,0.2,0.13,0.06,0.03,0.43,74.0,6.8,E
XOne,2015,Shooter,Take-Two Interactive,0.26,0.13,0.0,0.04,0.43,80.0,7.8,M
PS4,2014,Action,Square Enix,0.16,0.2,0.0,0.07,0.43,71.0,7.5,
PS2,2005,Action,Disney Interactive Studios,0.36,0.01,0.0,0.06,0.43,68.0,8.4,T
SAT,1996,Platform,Sega,0.0,0.0,0.43,0.0,0.43,71.0,7.5,
PS3,2009,Action,LucasArts,0.19,0.18,0.0,0.07,0.43,43.0,5.3,T
XB,2003,Sports,Electronic Arts,0.4,0.02,0.0,0.02,0.43,88.0,8.8,E
PS2,2003,Action,Electronic Arts,0.21,0.17,0.0,0.06,0.43,51.0,3.6,E
3DS,2016,Action,Nintendo,0.17,0.13,0.11,0.03,0.43,71.0,7.5,
PS3,2011,Misc,Sony Computer Entertainment,0.0,0.34,0.0,0.1,0.43,71.0,7.5,
PS3,2014,Fighting,Namco Bandai Games,0.15,0.14,0.09,0.06,0.43,73.0,7.5,T
PS3,2010,Action,505 Games,0.18,0.18,0.0,0.07,0.43,43.0,5.5,T
PS,2001,Sports,Sony Computer Entertainment,0.24,0.16,0.0,0.03,0.43,76.0,8.1,E
X360,2013,Action,Activision,0.26,0.13,0.0,0.04,0.43,62.0,7.4,M
XOne,2014,Action,Warner Bros. Interactive Entertainment,0.23,0.17,0.0,0.04,0.43,74.0,7.1,E10+
PS3,2014,Sports,Sony Computer Entertainment America,0.35,0.0,0.0,0.08,0.43,81.0,6.8,E
X360,2012,Action,Capcom,0.28,0.11,0.01,0.03,0.43,77.0,8.4,M
PS3,2010,Role-Playing,Tecmo Koei,0.22,0.09,0.07,0.04,0.43,45.0,7.0,T
PS2,2000,Shooter,Eidos Interactive,0.21,0.17,0.0,0.06,0.43,81.0,8.0,T
2600,1981,Action,Activision,0.4,0.02,0.0,0.0,0.43,71.0,7.5,
PS2,2004,Role-Playing,Namco Bandai Games,0.21,0.17,0.0,0.06,0.43,51.0,8.1,T
GBA,2002,Platform,BAM! Entertainment,0.31,0.11,0.0,0.01,0.43,71.0,7.5,
GBA,2003,Platform,Capcom,0.18,0.07,0.17,0.01,0.43,81.0,8.6,E
DS,2007,Misc,Ubisoft,0.4,0.0,0.0,0.03,0.43,73.0,7.5,E
SNES,1994,Simulation,Enix Corporation,0.0,0.0,0.43,0.0,0.43,71.0,7.5,
PS3,2013,Shooter,505 Games,0.22,0.14,0.0,0.08,0.43,74.0,6.2,M
X360,2015,Sports,Take-Two Interactive,0.27,0.12,0.0,0.04,0.43,71.0,5.4,T
PSP,2007,Fighting,Atari,0.19,0.09,0.08,0.07,0.43,71.0,7.5,
PS3,2012,Action,Electronic Arts,0.37,0.0,0.0,0.06,0.43,71.0,8.7,M
PS2,2009,Action,Atari,0.15,0.04,0.0,0.24,0.43,64.0,8.7,E10+
PS2,2003,Action,Interplay,0.21,0.16,0.0,0.06,0.43,68.0,8.8,M
N64,1997,Platform,Nintendo,0.25,0.06,0.07,0.06,0.43,71.0,7.5,
N64,1998,Racing,Midway Games,0.28,0.14,0.0,0.01,0.43,71.0,7.5,
PS2,2004,Sports,Sony Computer Entertainment,0.36,0.01,0.0,0.06,0.43,71.0,7.8,E
DS,2009,Misc,Take-Two Interactive,0.39,0.01,0.0,0.03,0.43,71.0,7.5,
PS2,2003,Role-Playing,Sony Online Entertainment,0.21,0.16,0.0,0.05,0.43,74.0,8.2,T
DS,2010,Adventure,Capcom,0.21,0.06,0.13,0.02,0.43,82.0,7.9,E10+
PS,1996,Sports,Sony Computer Entertainment,0.1,0.07,0.24,0.03,0.43,71.0,7.5,
3DS,2013,Role-Playing,Rising Star Games,0.23,0.12,0.04,0.04,0.43,47.0,6.0,E10+
PS3,2012,Misc,Ubisoft,0.26,0.11,0.0,0.06,0.43,77.0,7.1,E10+
PS2,2001,Simulation,Namco Bandai Games,0.09,0.07,0.25,0.02,0.43,71.0,8.8,T
PS2,2008,Misc,Electronic Arts,0.21,0.16,0.0,0.05,0.43,71.0,7.2,E
DS,2009,Puzzle,Warner Bros. Interactive Entertainment,0.29,0.11,0.0,0.04,0.43,68.0,7.5,E
PS2,2006,Role-Playing,Square Enix,0.07,0.05,0.29,0.02,0.43,57.0,6.8,T
DS,2005,Platform,Konami Digital Entertainment,0.34,0.03,0.03,0.03,0.43,89.0,8.5,T
PC,2012,Shooter,Take-Two Interactive,0.16,0.22,0.0,0.05,0.43,87.0,7.6,M
DS,2010,Action,THQ,0.25,0.14,0.0,0.04,0.43,71.0,7.5,E
PSP,2006,Role-Playing,Ubisoft,0.17,0.01,0.23,0.02,0.43,66.0,7.8,T
DS,2008,Simulation,Ubisoft,0.39,0.01,0.0,0.03,0.43,71.0,7.5,E
PS3,2010,Role-Playing,Sega,0.19,0.17,0.0,0.07,0.43,64.0,6.9,M
PS4,2015,Action,Bethesda Softworks,0.1,0.25,0.02,0.06,0.43,76.0,8.0,
DS,2010,Sports,Mastiff,0.4,0.0,0.0,0.02,0.43,71.0,7.5,T
DS,2007,Simulation,Ubisoft,0.39,0.0,0.0,0.03,0.43,71.0,7.5,E
X360,2013,Platform,Ubisoft,0.19,0.2,0.0,0.04,0.43,90.0,8.2,E10+
GC,2002,Sports,Electronic Arts,0.33,0.09,0.0,0.01,0.43,92.0,8.5,E
GBA,2002,Sports,Atari,0.31,0.11,0.0,0.01,0.43,71.0,7.5,
XB,2003,Misc,Midway Games,0.33,0.08,0.0,0.01,0.43,74.0,7.5,T
X360,2008,Misc,Disney Interactive Studios,0.39,0.01,0.0,0.03,0.43,53.0,5.2,E
Wii,2009,Sports,Mastiff,0.4,0.0,0.0,0.03,0.43,71.0,7.5,T
PC,2006,Simulation,Microsoft Game Studios,0.02,0.36,0.0,0.05,0.43,80.0,7.6,E
PS2,2009,Action,Activision,0.21,0.16,0.0,0.05,0.43,71.0,5.7,E
PS,1997,Sports,989 Studios,0.24,0.16,0.0,0.03,0.43,71.0,7.5,
PS2,2005,Misc,Sega,0.21,0.16,0.0,0.05,0.43,46.0,6.7,T
Wii,2008,Platform,Vivendi Games,0.35,0.05,0.0,0.03,0.43,70.0,6.6,E10+
DS,2006,Action,D3Publisher,0.39,0.0,0.0,0.03,0.42,56.0,6.5,E10+
PSP,2011,Strategy,Banpresto,0.0,0.0,0.42,0.0,0.42,71.0,7.5,
SAT,1997,Role-Playing,Sega,0.0,0.0,0.42,0.0,0.42,71.0,7.5,
GC,2002,Sports,Electronic Arts,0.33,0.09,0.0,0.01,0.42,88.0,8.6,E
PS3,2007,Action,Electronic Arts,0.16,0.19,0.0,0.08,0.42,68.0,4.4,M
X360,2014,Sports,Electronic Arts,0.15,0.25,0.0,0.03,0.42,74.0,4.4,E
PS2,2007,Platform,Vivendi Games,0.21,0.16,0.0,0.05,0.42,54.0,5.4,E10+
PS3,2010,Role-Playing,Nippon Ichi Software,0.12,0.06,0.21,0.03,0.42,74.0,6.7,T
GBA,2001,Role-Playing,Capcom,0.14,0.05,0.22,0.01,0.42,79.0,8.9,E
PSP,2006,Racing,THQ,0.11,0.2,0.0,0.12,0.42,65.0,8.2,T
PS2,2006,Shooter,Eidos Interactive,0.35,0.01,0.0,0.06,0.42,39.0,4.9,M
PS2,2005,Sports,Take-Two Interactive,0.21,0.16,0.0,0.05,0.42,81.0,5.8,E10+
GC,2003,Shooter,Electronic Arts,0.33,0.09,0.0,0.01,0.42,68.0,6.4,T
XB,2003,Simulation,Electronic Arts,0.31,0.1,0.0,0.01,0.42,84.0,6.9,T
PS2,2003,Adventure,Sony Computer Entertainment,0.21,0.16,0.0,0.05,0.42,64.0,3.1,T
PS,1999,Adventure,Sony Computer Entertainment,0.24,0.16,0.0,0.03,0.42,71.0,7.5,
SNES,1991,Action,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42,71.0,7.5,
PS,1998,Action,Psygnosis,0.24,0.16,0.0,0.03,0.42,71.0,7.5,
DS,2011,Misc,THQ,0.34,0.05,0.0,0.03,0.42,71.0,7.5,
GC,2005,Sports,Activision,0.33,0.08,0.0,0.01,0.42,76.0,7.7,T
X360,2007,Strategy,Electronic Arts,0.35,0.04,0.0,0.03,0.42,71.0,7.5,
Wii,2009,Shooter,Nintendo,0.19,0.14,0.06,0.03,0.42,71.0,7.5,
PSP,2008,Platform,Vivendi Games,0.11,0.2,0.0,0.11,0.42,71.0,6.5,E10+
DS,2009,Action,D3Publisher,0.22,0.16,0.0,0.04,0.42,71.0,7.5,E
GBA,2004,Platform,Nintendo,0.0,0.0,0.41,0.01,0.42,71.0,7.5,
PS,1997,Simulation,Psygnosis,0.24,0.16,0.0,0.03,0.42,91.0,7.8,E
PS2,2003,Sports,Acclaim Entertainment,0.21,0.16,0.0,0.05,0.42,78.0,7.5,E
PS,2003,Sports,Gotham Games,0.23,0.16,0.0,0.03,0.42,71.0,7.5,
X360,2015,Action,Activision,0.25,0.13,0.0,0.04,0.42,71.0,5.4,E10+
PSP,2009,Action,D3Publisher,0.13,0.19,0.0,0.11,0.42,71.0,7.5,E10+
PS,2001,Racing,Electronic Arts,0.23,0.16,0.0,0.03,0.42,69.0,6.9,E
PSV,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.17,0.0,0.1,0.42,61.0,6.8,T
PS3,2012,Simulation,Konami Digital Entertainment,0.21,0.07,0.09,0.05,0.42,73.0,8.0,M
SAT,1997,Role-Playing,ESP,0.0,0.0,0.42,0.0,0.42,71.0,7.5,
Wii,2010,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.42,70.0,6.7,E
XB,2004,Sports,Global Star,0.32,0.09,0.0,0.02,0.42,88.0,8.5,E
GBA,2005,Misc,Konami Digital Entertainment,0.3,0.11,0.0,0.01,0.42,71.0,7.5,
PS2,2003,Racing,THQ,0.21,0.16,0.0,0.05,0.42,55.0,7.7,E
PS2,2007,Action,THQ,0.21,0.16,0.0,0.05,0.42,71.0,7.5,
PS2,2002,Action,Atari,0.21,0.16,0.0,0.05,0.42,64.0,7.2,E
PS4,2014,Racing,Ubisoft,0.13,0.22,0.01,0.07,0.42,79.0,7.2,E10+
PS2,2004,Racing,Zoo Digital Publishing,0.35,0.01,0.0,0.06,0.42,47.0,7.5,T
Wii,2009,Racing,Electronic Arts,0.39,0.0,0.0,0.03,0.42,70.0,8.1,E
GBA,2004,Action,Ubisoft,0.3,0.11,0.0,0.01,0.42,60.0,7.5,E
X360,2009,Misc,Activision,0.23,0.15,0.0,0.04,0.42,71.0,5.9,T
GBA,2004,Platform,Activision,0.3,0.11,0.0,0.01,0.42,72.0,8.0,E
PS,1998,Racing,TYO,0.23,0.16,0.0,0.03,0.42,71.0,7.5,
PSV,2011,Sports,Sega,0.04,0.28,0.01,0.09,0.42,71.0,7.5,
PS,1999,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.39,0.03,0.42,71.0,7.5,
Wii,2011,Misc,Ubisoft,0.4,0.0,0.0,0.02,0.42,71.0,7.5,E10+
DS,2009,Action,THQ,0.42,0.0,0.0,0.0,0.42,71.0,7.5,
PSP,2008,Fighting,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42,71.0,7.5,
XB,2002,Racing,Atari,0.35,0.05,0.0,0.02,0.42,71.0,8.7,T
PS2,2004,Sports,Konami Digital Entertainment,0.0,0.0,0.42,0.0,0.42,71.0,7.5,
Wii,2007,Simulation,Ubisoft,0.39,0.0,0.0,0.03,0.42,71.0,7.5,E
PS2,2003,Action,THQ,0.21,0.16,0.0,0.05,0.42,71.0,7.5,
PSP,2007,Action,Disney Interactive Studios,0.15,0.17,0.0,0.1,0.42,61.0,7.0,T
N64,2001,Puzzle,Nintendo,0.34,0.07,0.0,0.0,0.42,71.0,7.5,
N64,1999,Sports,Konami Digital Entertainment,0.0,0.0,0.39,0.03,0.42,71.0,7.5,
N64,2000,Shooter,3DO,0.34,0.07,0.0,0.0,0.42,71.0,7.5,
N64,1998,Racing,Midway Games,0.35,0.06,0.0,0.0,0.42,71.0,7.5,
N64,2000,Sports,Midway Games,0.34,0.07,0.0,0.0,0.42,71.0,7.5,
GC,2004,Shooter,Electronic Arts,0.32,0.08,0.0,0.01,0.42,84.0,8.2,T
PSP,2005,Sports,Electronic Arts,0.39,0.0,0.0,0.03,0.42,80.0,7.6,E
PS2,2008,Sports,Sony Computer Entertainment,0.35,0.01,0.0,0.06,0.42,84.0,7.3,E
DS,2006,Simulation,Ubisoft,0.38,0.01,0.0,0.03,0.42,71.0,8.7,E
XB,2004,Simulation,Konami Digital Entertainment,0.32,0.09,0.0,0.02,0.42,78.0,7.1,E
GC,2004,Platform,Capcom,0.32,0.08,0.0,0.01,0.42,81.0,8.8,E
DS,2008,Platform,Vivendi Games,0.38,0.0,0.0,0.03,0.42,45.0,5.8,E
SNES,1995,Sports,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42,71.0,7.5,
Wii,2010,Action,Activision,0.23,0.15,0.0,0.04,0.42,59.0,7.0,E10+
PS2,2008,Sports,Activision,0.21,0.16,0.0,0.05,0.42,71.0,7.5,T
3DS,2014,Simulation,Nintendo,0.0,0.14,0.27,0.01,0.42,76.0,8.2,E10+
DS,2010,Misc,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42,71.0,7.5,
GC,2005,Action,Electronic Arts,0.32,0.08,0.0,0.01,0.42,69.0,6.3,E10+
PS2,2007,Strategy,LucasArts,0.2,0.16,0.0,0.05,0.42,70.0,1.7,E10+
PS3,2013,Action,Deep Silver,0.14,0.18,0.03,0.07,0.42,80.0,8.2,
PSP,2010,Action,Take-Two Interactive,0.39,0.0,0.0,0.03,0.42,71.0,6.4,E
PS,2001,Action,Capcom,0.14,0.1,0.16,0.03,0.42,65.0,6.8,E
PS2,2002,Shooter,Universal Interactive,0.2,0.16,0.0,0.05,0.42,75.0,8.5,M
GC,2005,Puzzle,Sega,0.32,0.08,0.0,0.01,0.42,71.0,7.5,
PS2,2005,Action,Konami Digital Entertainment,0.18,0.14,0.05,0.05,0.42,70.0,7.5,M
Wii,2012,Sports,Take-Two Interactive,0.36,0.03,0.0,0.03,0.42,71.0,7.5,E
PS,1998,Sports,Konami Digital Entertainment,0.02,0.02,0.35,0.03,0.42,71.0,7.5,
PS3,2009,Misc,Warner Bros. Interactive Entertainment,0.24,0.12,0.0,0.06,0.42,75.0,7.6,E10+
GBA,2001,Platform,THQ,0.3,0.11,0.0,0.01,0.42,71.0,7.5,
XB,2006,Shooter,Electronic Arts,0.31,0.09,0.0,0.01,0.42,77.0,8.0,M
XB,2006,Action,THQ,0.31,0.09,0.0,0.01,0.42,71.0,7.5,
X360,2012,Shooter,Take-Two Interactive,0.21,0.17,0.0,0.04,0.42,76.0,8.2,M
WiiU,2016,Role-Playing,Nintendo,0.2,0.14,0.05,0.03,0.42,75.0,6.8,E
DS,2008,Role-Playing,Square Enix,0.22,0.02,0.16,0.02,0.42,74.0,6.8,T
X360,2010,Shooter,Sega,0.19,0.16,0.03,0.04,0.42,84.0,8.4,M
DS,2007,Misc,Telegames,0.39,0.0,0.0,0.03,0.42,71.0,9.2,E
PS3,2010,Action,Disney Interactive Studios,0.27,0.09,0.0,0.05,0.42,58.0,6.2,T
XB,2004,Role-Playing,Electronic Arts,0.31,0.09,0.0,0.01,0.42,71.0,7.5,
PS2,2007,Action,Disney Interactive Studios,0.2,0.16,0.0,0.05,0.42,54.0,7.0,T
PS,2000,Adventure,Capcom,0.17,0.12,0.1,0.03,0.42,76.0,8.8,E
PS,1997,Fighting,Capcom,0.16,0.11,0.12,0.03,0.42,71.0,7.5,
X360,2006,Simulation,Ubisoft,0.36,0.02,0.0,0.03,0.42,66.0,7.9,T
Wii,2007,Adventure,Nintendo,0.18,0.16,0.03,0.04,0.42,71.0,7.5,
PS2,2004,Misc,Mud Duck Productions,0.2,0.16,0.0,0.05,0.42,71.0,7.5,E
3DS,2013,Action,Screenlife,0.0,0.0,0.42,0.0,0.42,46.0,4.5,M
PS2,2004,Action,Midway Games,0.2,0.16,0.0,0.05,0.42,77.0,8.9,M
SAT,1995,Fighting,Sega,0.0,0.0,0.42,0.0,0.42,71.0,7.5,
XB,2001,Simulation,LucasArts,0.3,0.1,0.0,0.02,0.42,76.0,7.5,T
WiiU,2015,Misc,Nintendo,0.19,0.11,0.09,0.03,0.41,46.0,4.4,E
PS2,2003,Sports,Acclaim Entertainment,0.2,0.16,0.0,0.05,0.41,71.0,7.5,
PS2,2003,Simulation,Konami Digital Entertainment,0.15,0.12,0.11,0.04,0.41,82.0,8.9,M
PS4,2013,Misc,Ubisoft,0.19,0.16,0.0,0.07,0.41,75.0,5.5,E10+
PS2,2003,Misc,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,71.0,7.5,
GBA,2001,Adventure,BAM! Entertainment,0.3,0.11,0.0,0.01,0.41,71.0,7.5,
PS2,2003,Sports,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,65.0,8.7,E
X360,2005,Action,Sega,0.36,0.02,0.0,0.03,0.41,81.0,8.2,M
GBA,2001,Adventure,Ubisoft,0.3,0.11,0.0,0.01,0.41,71.0,7.5,
DS,2010,Misc,THQ,0.39,0.0,0.0,0.03,0.41,71.0,7.5,E
PC,1998,Action,Eidos Interactive,0.41,0.0,0.0,0.0,0.41,71.0,8.6,T
