Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,71.0,7.5,
X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,7.9,M
PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,9.2,T
X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,7.0,M
PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,9.0,T
Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,7.3,E10+
PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,2.6,M
X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,8.4,M
SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,71.0,7.5,
X360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,71.0,7.5,
3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,8.7,E
DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,7.8,E
X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,8.4,M
SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,71.0,7.5,
PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,4.3,E
XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,8.2,M
Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,7.4,E
Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,6.3,E
PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,6.6,E
N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,71.0,7.5,
DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,71.0,7.5,
PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,8.7,T
PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,7.6,T
Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,71.0,7.5,
PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,71.0,7.5,
PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,8.6,T
2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,71.0,7.5,
DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,8.5,E
PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,7.6,M
PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,5.7,M
N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,71.0,7.5,
PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,5.0,E
PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,71.0,7.5,
3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,71.0,7.5,
Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,9.1,E
NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,71.0,7.5,
XOne,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,71.0,7.5,
X360,2008,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,7.6,M
X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,7.4,M
PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,8.6,E
Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,8.0,E10+
PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,7.5,M
